timestamp,left_x,left_y,left_z,right_x,right_y,right_z,Activity
2024-07-21 09:30:00,-96.96,-228.96,85.36,-86.6938775510204,202.6938775510204,120.89795918367346,none
2024-07-21 09:30:01,-96.15686274509804,-228.7843137254902,85.09803921568627,-86.77551020408163,202.6938775510204,120.48979591836736,none
2024-07-21 09:30:02,-96.15686274509804,-228.86274509803923,85.72549019607843,-85.3061224489796,203.75510204081635,120.3265306122449,none
2024-07-21 09:30:03,-96.3921568627451,-228.23529411764707,85.96078431372548,-87.28,201.44,122.08,none
2024-07-21 09:30:04,-97.12,-228.0,86.24,-88.0,200.0,123.83673469387756,none
2024-07-21 09:30:05,-95.76,-229.76,85.2,-88.81632653061224,200.0,123.83673469387756,none
2024-07-21 09:30:06,-89.09803921568627,-234.1960784313725,80.62745098039215,-90.16666666666669,199.66666666666663,123.41666666666669,none
2024-07-21 09:30:07,-84.07843137254902,-237.64705882352945,77.96078431372548,-90.44897959183672,199.8367346938776,122.6938775510204,none
2024-07-21 09:30:08,-83.13725490196079,-238.35294117647052,76.86274509803921,-91.59183673469389,200.24489795918367,121.63265306122447,none
2024-07-21 09:30:09,-82.3529411764706,-239.45098039215685,76.86274509803921,-92.16,199.52,122.32,none
2024-07-21 09:30:10,-84.86274509803921,-237.80392156862743,77.01960784313725,-92.6530612244898,198.9387755102041,123.18367346938776,none
2024-07-21 09:30:11,-91.44,-231.36,85.44,-90.44897959183672,201.0612244897959,121.22448979591836,none
2024-07-21 09:30:12,-24.88,-212.24,138.72,-85.06122448979592,204.16326530612244,118.77551020408164,none
2024-07-21 09:30:13,54.27450980392157,-102.11764705882354,183.68627450980392,-81.79591836734694,207.26530612244892,116.0,none
2024-07-21 09:30:14,48.0,-85.6470588235294,209.72549019607845,-78.08,208.4,116.56,none
2024-07-21 09:30:15,-85.41176470588235,-184.62745098039213,122.4313725490196,-74.04081632653062,209.6326530612245,117.63265306122447,none
2024-07-21 09:30:16,-71.28,-252.8,51.76,-77.14285714285714,207.51020408163265,118.20408163265306,none
2024-07-21 09:30:17,-84.0,-245.64705882352945,48.47058823529412,-92.48979591836736,201.55102040816325,118.93877551020408,none
2024-07-21 09:30:18,-103.28,-244.08,40.48,-94.53061224489797,200.9795918367347,118.12244897959184,none
2024-07-21 09:30:19,-76.3921568627451,-250.90196078431373,52.15686274509804,-95.0204081632653,199.26530612244892,119.6734693877551,none
2024-07-21 09:30:20,-78.50980392156863,-249.49019607843132,53.72549019607843,-96.6530612244898,195.51020408163265,124.6530612244898,none
2024-07-21 09:30:21,-81.49019607843137,-248.54901960784315,52.549019607843135,-85.22448979591837,194.6122448979592,131.91836734693877,none
